127.0.0.1 - - [08/Dec/2022:10:43:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Dec/2022:10:43:36 +0900] "GET /HtmlStudy/javaScript/test5.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [08/Dec/2022:10:43:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:21:22 +0900] "GET /HtmlStudy/javaScript/test5.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:21:46 +0900] "GET /HtmlStudy/javaScript/test5.html HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:29:55 +0900] "GET /HtmlStudy/javaScript/test5.html HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [08/Dec/2022:12:20:58 +0900] "GET /HtmlStudy/javaScript/test5.html HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [08/Dec/2022:12:21:05 +0900] "GET /HtmlStudy/javaScript/test5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:01:39 +0900] "GET /HtmlStudy/javaScript/test5.html HTTP/1.1" 200 1715
