0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:42:56 +0900] "GET /JSP6/board/boardList.jsp?pageNum=4 HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:42:57 +0900] "GET /JSP6/board/boardList.jsp?pageNum=1 HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:42:58 +0900] "GET /JSP6/board/boardList.jsp?pageNum=3 HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:42:59 +0900] "GET /JSP6/board/content.jsp?bno=8&pageNum=3 HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:43:02 +0900] "GET /JSP6/board/updateForm.jsp?bno=8&pageNum=3 HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:43:08 +0900] "POST /JSP6/board/updatePro.jsp HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:43:09 +0900] "GET /JSP6/board/boardList.jsp?pageNum=3 HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [11/Jan/2023:16:46:17 +0900] "GET /JSP6/board/writeForm.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [11/Jan/2023:16:46:26 +0900] "POST /JSP6/board/writePro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:16:46:26 +0900] "GET /JSP6/board/boardList.jsp HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [11/Jan/2023:16:46:28 +0900] "GET /JSP6/board/content.jsp?bno=13&pageNum=1 HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [11/Jan/2023:16:46:29 +0900] "GET /JSP6/board/deleteForm.jsp?bno=13&pageNum=1 HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [11/Jan/2023:16:46:32 +0900] "POST /JSP6/board/deletePro.jsp?pageNum=1 HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [11/Jan/2023:16:46:38 +0900] "POST /JSP6/board/deletePro.jsp?pageNum=1 HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [11/Jan/2023:16:46:39 +0900] "GET /JSP6/board/boardList.jsp?pageNum=1 HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [11/Jan/2023:17:05:59 +0900] "GET /JSP6/board/boardList.jsp?pageNum=1 HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [11/Jan/2023:17:06:01 +0900] "GET /JSP6/board/boardList.jsp?pageNum=1 HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [11/Jan/2023:17:06:02 +0900] "GET /JSP6/board/boardList.jsp?pageNum=2 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [11/Jan/2023:17:06:04 +0900] "GET /JSP6/board/boardList.jsp?pageNum=1 HTTP/1.1" 200 2723
