127.0.0.1 - - [16/Dec/2022:14:28:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Dec/2022:14:28:20 +0900] "GET /HtmlStudy/javaScript/Object2.html HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [16/Dec/2022:14:28:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Dec/2022:14:42:48 +0900] "GET /HtmlStudy/javaScript/Object2.html HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [16/Dec/2022:15:16:48 +0900] "GET /HtmlStudy/javaScript/Object2.html HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [16/Dec/2022:15:27:36 +0900] "GET /HtmlStudy/javaScript/Object2.html HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [16/Dec/2022:16:19:50 +0900] "GET /HtmlStudy/javaScript/Object2.html HTTP/1.1" 200 2403
0:0:0:0:0:0:0:1 - - [16/Dec/2022:16:22:40 +0900] "GET /HtmlStudy/javaScript/Object2.html HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [16/Dec/2022:16:31:35 +0900] "GET /HtmlStudy/javaScript/Object2.html HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [16/Dec/2022:16:44:22 +0900] "GET /HtmlStudy/javaScript/Object2.html HTTP/1.1" 200 2623
0:0:0:0:0:0:0:1 - - [16/Dec/2022:17:21:35 +0900] "GET /HtmlStudy/javaScript/Object2.html HTTP/1.1" 200 2755
0:0:0:0:0:0:0:1 - - [16/Dec/2022:17:22:01 +0900] "GET /HtmlStudy/javaScript/Object2.html HTTP/1.1" 200 2763
0:0:0:0:0:0:0:1 - - [16/Dec/2022:17:30:44 +0900] "GET /HtmlStudy/javaScript/Object2.html HTTP/1.1" 200 2863
