127.0.0.1 - - [08/Feb/2023:14:08:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/Main.me HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/css/front.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/images/facebook.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/images/shadow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/images/twitter.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/images/main_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/images/img_back.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/images/icon1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/images/icon2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/images/tr_back.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/images/under_logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/images/icon3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/images/h3_back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /Model2/images/segoeui.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:20 +0900] "GET /Model2/images/blue.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:20 +0900] "GET /Model2/AdminGoodsAdd.ag HTTP/1.1" 200 4705
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:20 +0900] "GET /Model2/css/subpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:20 +0900] "GET /Model2/images/bullet.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:20 +0900] "GET /Model2/images/center/t_back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:08:20 +0900] "GET /Model2/images/company/sub_back.png HTTP/1.1" 304 -
