127.0.0.1 - - [02/Dec/2022:14:07:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:07:49 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:07:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:12:18 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:12:18 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:12:19 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:12:20 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:13:47 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:15:51 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:16:07 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:16:30 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:16:31 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:16:36 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:16:37 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:25:09 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:32:03 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:33:07 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:33:32 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:34:02 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:34:04 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:34:06 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:34:10 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:34:58 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:36:20 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:48:46 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [02/Dec/2022:14:49:06 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [02/Dec/2022:15:07:30 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [02/Dec/2022:15:18:07 +0900] "GET /HtmlStudy/html/test2.html HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [02/Dec/2022:15:18:07 +0900] "GET /HtmlStudy/html/1234.png HTTP/1.1" 404 838
