0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:18:35 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-9 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:18:35 +0900] "GET /Model2/MemberLogin.me HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:18:38 +0900] "POST /Model2/MemberLoginAction.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:18:39 +0900] "GET /Model2/Main.me HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:18:40 +0900] "GET /Model2/AdminGoodsList.ag HTTP/1.1" 200 9029
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:18:41 +0900] "GET /Model2/AdminOrderList.ao HTTP/1.1" 200 5961
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:18:43 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-9 HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:38:11 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-9 HTTP/1.1" 200 5291
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:38:12 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-9 HTTP/1.1" 200 5291
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:38:12 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-9 HTTP/1.1" 200 5291
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:38:12 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-9 HTTP/1.1" 200 5291
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:38:26 +0900] "POST /Model2/AdminOrderUpdate.ao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:38:26 +0900] "GET /Model2/AdminOrderList.ao HTTP/1.1" 200 5961
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:38:33 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-12 HTTP/1.1" 200 5287
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:39:00 +0900] "POST /Model2/AdminOrderUpdate.ao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:39:00 +0900] "GET /Model2/AdminOrderList.ao HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:39:02 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-9 HTTP/1.1" 200 5300
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:39:12 +0900] "POST /Model2/AdminOrderUpdate.ao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:39:12 +0900] "GET /Model2/AdminOrderList.ao HTTP/1.1" 200 5964
