127.0.0.1 - - [10/Jan/2023:14:10:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:10:16 +0900] "GET /JSP6/board/boardList.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:10:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:10:19 +0900] "GET /JSP6/board/boardList.jsp?pageNum=2 HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:10:20 +0900] "GET /JSP6/board/boardList.jsp?pageNum=1 HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:10:32 +0900] "GET /JSP6/board/boardList.jsp?pageNum=1 HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:10:39 +0900] "GET /JSP6/board/boardList.jsp?pageNum=2 HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:10:40 +0900] "GET /JSP6/board/boardList.jsp?pageNum=3 HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:10:41 +0900] "GET /JSP6/board/boardList.jsp?pageNum=1 HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:10:41 +0900] "GET /JSP6/board/boardList.jsp?pageNum=4 HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:10:42 +0900] "GET /JSP6/board/boardList.jsp?pageNum=5 HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:10:42 +0900] "GET /JSP6/board/boardList.jsp?pageNum=6 HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:10:44 +0900] "GET /JSP6/board/boardList.jsp?pageNum=1 HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:11:37 +0900] "GET /JSP6/board/boardList.jsp?pageNum=1 HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:11:38 +0900] "GET /JSP6/board/boardList.jsp?pageNum=3 HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:11:39 +0900] "GET /JSP6/board/boardList.jsp?pageNum=1 HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:15:28 +0900] "GET /JSP6/board/boardList.jsp?pageNum=1 HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:15:29 +0900] "GET /JSP6/board/boardList.jsp?pageNum=3 HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [10/Jan/2023:14:15:29 +0900] "GET /JSP6/board/boardList.jsp?pageNum=2 HTTP/1.1" 200 942
